i,YZ,X1,X2,X3,X4,X5
1,0.000468069,682164,678909,5378786,6713,9660
2,4.08E-05,119994,118265,1306283,6982,8964
3,0,138702,136566,1276705,11674,14563
4,7.85E-05,464973,466925,2339786,29948,24061
5,3.17E-05,78503,76898,1020642,3157,5634
6,0.000118325,150251,148356,1120365,6472,9998
7,8.50E-05,204692,212770,1917815,25021,21245
8,0.000115916,570623,513574,2842851,86852,160977
9,6.55E-05,316779,301794,1955198,58858,77915
10,0.000149658,337530,340954,1969764,61715,65066
11,0.00028243,1965820,1234835,6456452,263494,1073576
12,0.000306613,1587962,992194,5582241,192282,832707
13,0.000943155,3302660,5450043,15920405,2906075,500941
14,0.000333576,2436467,1716270,8322926,328194,1131482
15,7.01E-05,317689,316939,2302236,8052,10080
16,0.000408012,156649,156371,1063834,8948,11442
17,0.000504517,166063,167237,1156536,13886,11358
18,0.000295611,114308,115342,786736,7916,7920
19,0.00016838,166112,160648,828495,11812,18247
20,6.95E-05,293488,292736,2094051,10941,15694
21,0.000148375,400191,333998,1952630,50857,130130
22,4.22E-05,660480,660208,3692336,37584,45553
23,0.000138463,1745271,1829124,7586294,199954,96788
24,5.09E-05,269856,249893,1784775,33933,65023
25,0.000143786,285890,246865,1363716,46579,95779
26,0.000292714,555014,561925,2656353,204799,158799
27,0.000452774,2068460,2437560,9224306,667944,283107
28,0.000273176,1157436,936796,5294074,143521,384247
29,0.000148071,330126,209296,1228426,57947,193837
30,0.000135141,124254,110331,946387,19551,36743
31,1.03E-05,64602,64044,572678,9040,9803
32,6.80E-05,44975,45473,694770,9852,9434
33,2.66E-05,286583,283885,1921822,26676,26379
34,0.000120987,451047,458655,2850087,35890,29793
35,5.50E-05,129333,125720,1399109,16311,21931
36,1.39E-05,110692,108295,752919,5144,7958
37,5.94E-05,129541,132767,978511,12163,9915
38,0.000121925,95900,96834,1385392,9213,9083
39,0.000217621,73449,72916,727644,3056,3688
40,0.000352114,1048096,1047313,5105438,76896,73014
41,0.000109848,128623,133253,834871,40989,38950
42,2.52E-05,108948,106445,1374210,9314,12291
43,5.49E-05,305094,298340,1777292,14511,23389
44,0.00010486,85302,84936,1165668,11930,12600
45,3.12E-05,78440,77867,1103434,8399,9034
46,1.39E-05,108901,107323,1646386,9432,11223
47,0.000225614,222546,222791,1433110,2173,2629
